GM_WELL_ID,GM_RESULT,GM_CHEMICAL_VVL,GM_SAMP_COLLECTION_DATE,GM_RESULT_UNITS,GM_RESULT_MODIFIER,GM_REPORTING_LIMIT,GM_LATITUDE,GM_LONGITUDE,GM_WELL_CATEGORY,GM_WELL_DEPTH_FT,GM_TOP_DEPTH_OF_SCREEN_FT,GM_SCREEN_LENGTH_FT,GM_DATASET_NAME,GM_ALTWELL_ID1,GM_ALTWELL_ID2
01S03E03M001M,0,AS,7/18/74,UG/L,,1,37.8741,-121.64,"Water Supply, Other",185,,,DWR,01S03E03M001M,01S03E03M001M
USGS-375228121382001,,AS,7/18/74,UG/L,ND,1,37.8743698,-121.6399515,"Water Supply, Other",185,,,USGS_NWIS,USGS-375228121382001,USGS-375228121382001
02N01E18D001M,10,AS,7/19/74,UG/L,,1,38.0255,-121.912,"Water Supply, Other",100,60,40,DWR,02N01E18D001M,02N01E18D001M
01N01W03N001M,0,AS,7/23/74,UG/L,,1,37.9583,-121.967,"Water Supply, Other",110,46,64,DWR,01N01W03N001M,01N01W03N001M
01N02W13P001M,10,AS,7/24/74,UG/L,,1,37.928,-122.036,"Water Supply, Other",60,,,DWR,01N02W13P001M,01N02W13P001M
02N02W35D001M,0,AS,5/22/75,UG/L,,1,37.9796,-122.059,"Water Supply, Other",87,35,52,DWR,02N02W35D001M,02N02W35D001M
02N01W30J001M,0,AS,5/22/75,UG/L,,1,37.988,-122.01,"Water Supply, Other",,,,DWR,02N01W30J001M,02N01W30J001M
02N01W09D001M,0,AS,5/22/75,UG/L,,1,38.0385,-121.987,"Water Supply, Other",,,,DWR,02N01W09D001M,02N01W09D001M
01N03E17E001M,0,AS,6/24/75,UG/L,,1,37.9335,-121.675,"Water Supply, Other",123,113,10,DWR,01N03E17E001M,01N03E17E001M
USGS-375600121402601,,AS,6/24/75,UG/L,ND,1,37.933257,-121.6749527,"Water Supply, Other",123,,,USGS_NWIS,USGS-375600121402601,USGS-375600121402601
02N02W25H001M,0,AS,6/10/76,UG/L,,1,37.991,-122.03,"Water Supply, Other",48,24,24,DWR,02N02W25H001M,02N02W25H001M
01N02E25F001M,0,AS,5/1/79,UG/L,,1,37.9049,-121.708,"Water Supply, Other",,,,DWR,01N02E25F001M,01N02E25F001M
01N02E03K001M,0,AS,5/1/79,UG/L,,1,37.9591,-121.74,"Water Supply, Other",,,,DWR,01N02E03K001M,01N02E03K001M
01N03E25C001M,0,AS,5/1/79,UG/L,,1,37.9085,-121.598,"Water Supply, Other",,,,DWR,01N03E25C001M,01N03E25C001M
USGS-375427121422601,2,AS,5/1/79,UG/L,,UNK,37.9074242,-121.7082863,"Water Supply, Other",98,,,USGS_NWIS,USGS-375427121422601,USGS-375427121422601
USGS-375437121355601,2,AS,5/1/79,UG/L,,UNK,37.9102023,-121.5999513,"Water Supply, Other",355,,,USGS_NWIS,USGS-375437121355601,USGS-375437121355601
USGS-375738121441501,2,AS,5/1/79,UG/L,,UNK,37.9604783,-121.7385648,"Water Supply, Other",80,,,USGS_NWIS,USGS-375738121441501,USGS-375738121441501
01N03E09E001M,0,AS,5/2/79,UG/L,,1,37.9482,-121.658,"Water Supply, Other",,,,DWR,01N03E09E001M,01N03E09E001M
